"","Species","Taxonomic_Authority","Common_Names","French_Name","Common_Family","OMNR_Code","Family_TSN","Parent_TSN","Species_TSN","Global_Rank_GRank","National_Rank_NRank","Provincial_Rank_SRank","COSEWIC_Status","SARO_Status","AFS_Status","Status_Notes","Ontario_Origin","General_Abundance","Tolerance","Economic_Importance","General_Habitats","Environment","Trophic_Class","Thermal_Regime","Habitat_Preference","Reproductive_Guild","Spawning_Habitats","Spawning_Season","Spawning_Months","Spawning_Temperature_Celsius","Fecundity","Nursery_Habitats","Adult_Length_cm","Adult_Weight_kg","Age_at_Maturity_yrs","Maximum_Length_cm","Maximum_Weight_kg","Lifespan_yrs","Species_TSN2","class_itis","order_itis","family_itis","genus_itis","species_itis"
"107","Esox americanus vermiculatus","Lesueur, 1846","Grass Pickerel","brochet vermiculé","pikes","133","162137","162140","162142","G5T5 (1997-01-01)","N3 (2013-01-16)","S3 (2009-10-21)","Special Concern (Nov 2014)","Special Concern","none","none","native","uncommon","intermediate","none","lacustrine; riverine","benthopelagic","invertivore/carnivore","warmwater","lakes, backwaters and sluggish pools of creeks and small rivers with mud bottom, aquatic vegetation and clear water; preferred water temperature 25.5°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","spring","March-May","4-12","625-4,584","lacustrine; riverine","15.2-32.5 TL","0.02-0.17","2-3","38.1 TL","0.45","4-8","162142","Teleostei","Esociformes","Esocidae","Esox","Esox americanus"
"108","Esox lucius","Linnaeus, 1758","Northern Pike","grand brochet","pikes","131","162137","162138","162139","G5 (2015-08-17)","N5 (2017-12-22)","S5 (2009-03-23)","none","none","none","none","native","common","intermediate","sport fish; commercial fishery","lacustrine; riverine","benthopelagic","carnivore","coolwater","clear, cool to warm, weedy bays of lakes and slow, meandering, heavily vegetated rivers; preferred water temperature range 17-21°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","spring","March-May","4-11","7,691-595,200","lacustrine; riverine","45.7-100.2 TL","0.6-5.8","2-3 (m); 3-4 (f)","155 TL","35.01","10-26","162139","Teleostei","Esociformes","Esocidae","Esox","Esox lucius"
"109","Esox lucius x E. masquinongy","not applicable","tiger muskellunge (norlunge)","maskinongé tigre","pikes","502","162137","162138","not applicable","GNA","NNA","SNA","none","none","none","none","natural hybrid","rare","intermediate","sport fish","lacustrine; riverine","benthopelagic","carnivore","coolwater","warm, weedy shallows of clear lakes and slow rivers; preferred water temperature range 19-21°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","spring","April-May","no data","no data","lacustrine; riverine","58.4-111.1 TL","1.3-10.9","n/a (m); no data (f)","137.2 TL","23.22","10-14","not applicable",NA,NA,NA,NA,NA
"110","Esox masquinongy","Mitchill, 1824","Muskellunge (muskie)","maskinongé","pikes","132","162137","162138","162144","G5 (2015-08-17)","N4N5 (2017-12-22)","S4 (1988-11-22)","none","none","none","none","native","common","intermediate","sport fish; commercial fishery (historical)","lacustrine; riverine","benthopelagic","carnivore","warmwater","clear, cool to warm waters of medium to large lakes and slow rivers; preferred water temperature range 22-26°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","spring","April-May","9-16","6,315-454,717","lacustrine; riverine","71.1-121.9 TL","2.4-15.5","3-6 (m); 4-8 (f)","183 TL","31.72","15-30","162144","Teleostei","Esociformes","Esocidae","Esox","Esox masquinongy"
"111","Esox niger","Lesueur, 1818","Chain Pickerel","brochet maillé","pikes","135","162137","162138","162143","G5 (2011-12-01)","N3N4 (2017-12-21)","SNA (2009-10-22)","Not at Risk (Apr 1997)","none","none","none","natural dispersal","rare","intermediate","none","lacustrine; riverine","benthopelagic","carnivore","warmwater","clear backwaters and quiet pools of creeks and small to medium-sized rivers, ponds and shallow (<3 m) lakes with abundant aquatic vegetation; preferred water temperature range 21-30°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","spring","April-May","6-11","6,102-29,928","lacustrine; riverine","30.5-63.5 TL","0.17-1.84","3-5","99.1 TL","5.6","8-10","162143","Teleostei","Esociformes","Esocidae","Esox","Esox niger"
"112","Umbra limi","(Kirtland, 1840)","Central Mudminnow","umbre de vase","mudminnows","141","162146","162147","162153","G5 (2015-08-17)","N5 (2016-02-08)","S5 (1997-10-02)","none","none","none","none","native","common","tolerant","forage fish; bait fish","riverine","benthic","invertivore","coolwater","heavily vegetated ponds, wetlands, bogs or pools of small creeks and quiet, shallow (0.5 m) areas of lakes with mud and organic substrates","Guarders: Substratum choosers: Phytophils","riverine","spring","April-May","10-16","189-3,828","riverine","5.1-10.2 TL","0.001-0.011","1-2 (m); 2-3 (f)","14.8 TL","no data","4-9","162153","Teleostei","Esociformes","Umbridae","Umbra","Umbra limi"
"113","Percopsis omiscomaycus","(Walbaum, 1792)","Trout-perch","omisco","trout-perches","291","164407","164408","164409","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish (incidental)","lacustrine; riverine","benthopelagic","invertivore/carnivore","coldwater","deeper waters (9-13 m) of lakes, deep flowing pools of creeks and small to large rivers, usually over sand or gravel bottoms; preferred water temperature range 10-16°C","Nonguarders: Open substratum spawners: Lithophils","lacustrine; riverine","spring-summer","May-August","10-17","126-1,825","lacustrine; riverine","6.4-11.4 TL","0.002-0.014","1-2 (m); 2-3 (f)","17.2 TL","no data","3-4 (m); 4-8 (f)","164409","Teleostei","Percopsiformes","Percopsidae","Percopsis","Percopsis omiscomaycus"
"114","Lota lota","(Linnaeus, 1758)","Burbot (ling)","lotte","cuskfishes","271","553176","164724","164725","G5 (2015-08-17)","N5 (2017-10-31)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","sport fish (incidental)","lacustrine; riverine","benthic","invertivore/carnivore","coldwater","moderate to deep waters (to 90 m) of lakes, large cool rivers and streams, often under rocks, among roots or in holes in the banks; preferred water temperature range 7-18°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","winter","January-March","1-4","45,600-1,444,122","lacustrine; riverine","38.1-83.8 TL","0.4-4.3","3-7 (m); 4-8 (f)","152 TL","34.02","10-20","164725","Teleostei","Gadiformes","Gadidae","Lota","Lota lota"
"115","Labidesthes sicculus","(Cope, 1865)","Brook Silverside","crayon-d'argent","New World silversides","361","165984","166015","166916","G5 (2016-02-09)","N4N5 (2017-12-22)","S4 (1997-03-21)","Not at Risk (Apr 1989)","Not at Risk","none","none","native","common","intermediate","forage fish","lacustrine; riverine","pelagic","planktivore/invertivore","warmwater","surface waters (10-12 cm) of lakes and reservoirs, usually in open water, and quiet pools of rivers; preferred water temperature 24.5°C","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring-summer","May-August","17-23","73-785","lacustrine; riverine","6.4-9.7 TL","0.001-0.004","1","11.2 TL","no data","1","166016","Teleostei","Atheriniformes","Atherinopsidae","Labidesthes","Labidesthes sicculus"
"116","Fundulus diaphanus","(Lesueur, 1817)","Banded Killifish","fondule barré","topminnows","261","165629","165644","165646","G5 (2015-08-18)","N5 (2017-12-22)","S5 (1996-07-16)","Not at Risk (Apr 1989)","Not at Risk","none","none","native","common","tolerant","none","lacustrine; riverine","benthopelagic","invertivore/planktivore","coolwater","quiet, shallow, margins of lakes, ponds and sluggish streams in areas with sand and gravel substrates and patches of aquatic macrophytes; preferred water temperature 21°C","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","summer","June-August","19-24","426-1,062","lacustrine; riverine","5.3-8.1 TL","0.001-0.005","1-2","12.8 TL","0.031","3-4","165646","Teleostei","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus diaphanus"
"117","Fundulus notatus","(Rafinesque, 1820)","Blackstripe Topminnow","fondule rayé","topminnows","262","165629","165644","165663","G5 (2012-02-01)","N3 (2017-12-26)","S2 (1988-11-01)","Special Concern (May 2012)","Special Concern","none","none","native","limited distribution","tolerant","none","riverine","benthopelagic","herbivore/invertivore","warmwater","quiet surface waters near margins of sluggish perennial creeks and small rivers with clay/silt bottoms and abundant aquatic and riparian vegetation; pools in intermittent streams","Nonguarders: Open substratum spawners: Phytophils","riverine","summer","June-July","20-25","20-170","riverine","4.6-7.1 TL","0.001-0.004","1-2","9.7 TL","no data","2-3","165663","Teleostei","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus notatus"
"118","Apeltes quadracus","(Mitchill, 1815)","Fourspine Stickleback","épinoche à quatre épines","sticklebacks","284","166363","166396","166397","G5 (2016-02-10)","N5 (2016-02-10)","SNA (1997-10-09)","none","none","none","none","introduced","limited distribution","intermediate","none","lacustrine; estuarine1; marine1","benthopelagic","planktivore","coolwater","shallow, brackish estuarine waters; occasionally streams and lakes","Guarders: Nest spawners: Ariadnophils","lacustrine; estuarine1; marine1","spring-summer","May-July","16-18","10-214","lacustrine; estuarine1; marine1","3.6-5.8 TL","0.0004-0.0013","1 (m); 1-2 (f)","6.6 TL","no data","1 (m); 2 (f)","166397","Teleostei","Gasterosteiformes","Gasterosteidae","Apeltes","Apeltes quadracus"
"119","Culaea inconstans","(Kirtland, 1840)","Brook Stickleback","épinoche à cinq épines","sticklebacks","281","166363","166398","166399","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; baitfish (incidental)","lacustrine; riverine","benthopelagic","planktivore/invertivore","coolwater","small, boggy headwater streams, shallow lake margins, ponds, and clear pools and backwaters of creeks and small rivers; usually associated with aquatic vegetation; occasionally brackish water; preferred water temperature 21.3°C","Guarders: Nest spawners: Ariadnophils","lacustrine; riverine","spring-summer","May-July","8-19","40-451","lacustrine; riverine","3.8-6.9 TL","0.0005-0.0019","1","8.9 TL","0.00465","2-3","166399","Teleostei","Gasterosteiformes","Gasterosteidae","Culaea","Culaea inconstans"
"120","Gasterosteus aculeatus","Linnaeus, 1758","Threespine Stickleback","épinoche à trois épines","sticklebacks","282","166363","166364","166365","G5 (2017-12-27)","N5B, N5N, N5M (2017-12-27)","S4 (1997-10-09)","none","none","none","none","native/introduced","common","intermediate","forage fish","lacustrine; riverine; estuarine; marine","benthopelagic","invertivore","coolwater","shallow vegetated areas of creeks and rivers, protected bays of lakes with mud or sand bottom, and coastal marine/estuarine environments; preferred water temperature range 9-12°C","Guarders: Nest spawners: Ariadnophils","lacustrine; riverine","spring-summer","May-July","10-22","41-885","lacustrine; riverine","5.5-7.6 TL","0.0011-0.0024","1","10.4 TL","0.00638","1-3","166365","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"121","Pungitius pungitius","(Linnaeus, 1758)","Ninespine Stickleback","épinoche à neuf épines","sticklebacks","283","166363","166386","166387","G5 (2015-08-17)","N5B, N5N, N5M (2017-12-28)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish (incidental)","lacustrine; riverine; estuarine; marine","benthopelagic","planktivore","coolwater","shallow vegetated nearshore of lakes, ponds, pools of sluggish streams, and marine/estuarine environments; preferred water temperature range 9-16°C","Guarders: Nest spawners: Ariadnophils","lacustrine; riverine","summer","June-July","9-17","20-174","lacustrine; riverine","4.7-7.4 TL","0.0006-0.0016","1 (m); 1-2 (f)","9.0 TL","no data","1-2 (m); 3-4 (f)","166387","Teleostei","Gasterosteiformes","Gasterosteidae","Pungitius","Pungitius pungitius"
"122","Cottus bairdii","Girard, 1850","Mottled Sculpin","chabot tacheté","sculpins","381","167196","167229","167237","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish (limited)","lacustrine; riverine","benthic","invertivore","coolwater","cobble and gravel riffles of cool creeks, small rivers and rocky shores of lakes (<16 m deep); preferred water temperature range 13-18°C","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring","April-May","5-16","35-949","lacustrine; riverine","7.6-10.2 TL","0.004-0.011","2-3","17.7 TL","no data","4-6","167237","Teleostei","Scorpaeniformes","Cottidae","Cottus","Cottus bairdii"
"123","Cottus cognatus","Richardson, 1836","Slimy Sculpin","chabot visqueux","sculpins","382","167196","167229","167232","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intolerant","forage fish; bait fish (limited)","lacustrine; riverine","benthic","invertivore","coldwater","gravelly, rocky riffles of coldwater streams and rocky substrates in deep (37-108 m), cooler waters of lakes; preferred water temperature range 9-14°C","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring","April-May","4-10","42-1,157","lacustrine; riverine","6.3-9.1 TL","0.003-0.007","2-3","12.8 TL","0.01686","4-7","167232","Teleostei","Scorpaeniformes","Cottidae","Cottus","Cottus cognatus"
"124","Cottus ricei","(Nelson, 1876)","Spoonhead Sculpin","chabot à tête plate","sculpins","383","167196","167229","167253","G5 (2015-08-17)","N5 (2017-12-22)","S4 (1997-10-10)","Not at Risk (Apr 1989)","Not at Risk","none","none","native","uncommon","intolerant","forage fish","lacustrine; riverine; estuarine","benthic","invertivore","coldwater","deep waters (50-90 m) of lakes and rocky areas in cold, swift creeks and small to medium rivers; preferred water temperature range 4-8°C","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring-summer","April-September","4-6","280-1,200","lacustrine; riverine","5.1-8.4 TL","0.001-0.005","2","13.5 TL","0.00754","6","167253","Teleostei","Scorpaeniformes","Cottidae","Cottus","Cottus ricei"
"125","Myoxocephalus quadricornis","(Linnaeus, 1758)","Fourhorn Sculpin","chaboisseau à quatre cornes","sculpins","387","167196","167311","167316","G5 (2015-08-18)","N5B, NNRN, NNRM (2017-12-28)","S2? (2003-06-26)","Not at Risk (Apr 1989)","none","none","none","native","limited distribution","intermediate","none","riverine; estuarine; marine","benthic","invertivore","coldwater","nearshore in shallow (<20 m), brackish waters and coastal rivers; preferred water temperature range 1-9°C","Guarders: Nest spawners: Lithophils","estuarine; marine","winter","December-January","0-2","792-6,150","estuarine; marine","15.6-25.4 TL","0.025-0.13","3-5","36.5 TL","0.40","11 (m); 14 (f)","167316","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus quadricornis"
"126","Myoxocephalus thompsonii","(Girard, 1851)","Deepwater Sculpin","chabot de profondeur","sculpins","384","167196","167311","167323","G5 (2015-08-18)","N5 (2017-12-22)","S3?1 (2011-05-06), S42, SU3 (2018-03-29)","Special Concern1, Not at Risk2, DD3 (Apr 2017)","Not at Risk","none","(1) Great Lakes-Upper St. Lawrence populations; (2) Saskatchewan-Nelson River populations; (3) Southern Hudson Bay-James Bay populations","native","uncommon","intolerant","forage fish","lacustrine","benthic","invertivore","coldwater","cold bottom waters of the hypolimnion, on soft sediments in deep lakes; usually at depths between 60-150 m in the Great Lakes; preferred water temperature range 4-5°C","Guarders: Nest spawners: Lithophils","lacustrine","summer-fall","August-October","4-7","165-1,187","lacustrine","5.1-12.7 TL","0.001-0.029","2 (m); 3 (f)","23.5 TL","0.060","5-10","167323","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus thompsonii"
"127","Morone americana","(Gmelin, 1789)","White Perch","baret","temperate basses","301","170315","167676","167678","G5 (2016-02-09)","N5 (2016-02-09)","SNA (1991-07-03)","none","none","none","none","introduced","common","intermediate","commercial fishery, pan fish","lacustrine; riverine; estuarine1; marine1","benthopelagic","invertivore/carnivore","warmwater","shallows of lakes and bays, pools and quiet water areas of medium to large rivers, usually over mud substrate; preferred water temperature range 26-30°C","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring","May-June","11-16","5,100-388,736","lacustrine; riverine; estuarine1","15.0-30.2 TL","0.04-0.39","2-3 (m); 3-4 (f)","49.5 TL","2.72","7-10","167678","Teleostei","Perciformes","Moronidae","Morone","Morone americana"
"128","Morone chrysops","(Rafinesque, 1820)","White Bass","bar blanc","temperate basses","302","170315","167676","167682","G5 (2016-02-09)","N4N5 (2016-02-09)","S4 (1988-11-22)","none","none","none","none","native","uncommon","tolerant","commercial fishery (historical)","lacustrine; riverine","benthopelagic","invertivore/carnivore","warmwater","open, surface waters (<14 m) of lakes and pools of small to large rivers with moderate current and sand to gravel substrates; preferred water temperature range 28-32°C","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring","May-June","14-22.5","61,700-1,049,207","lacustrine; riverine","23.0-40.6 TL","0.14-0.78","2 (m); 3 (f)","60.9 TL","3.09","7-9","167682","Teleostei","Perciformes","Moronidae","Morone","Morone chrysops"
"129","Ambloplites rupestris","(Rafinesque, 1817)","Rock Bass","crapet de roche","sunfishes","311","168093","168096","168097","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","pan fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coolwater","rocky or vegetated shallows of lakes and pools of creeks and small to medium rivers; reported to depths of 21 m; preferred water temperature range 21-26°C","Guarders: Nest spawners: Polyphils","lacustrine; riverine","spring","May-June","18-23","2,000-11,000","lacustrine; riverine","15.2-26.7 TL","0.06-0.35","3-5","43.0 TL","1.64","8-131","168097","Teleostei","Perciformes","Centrarchidae","Ambloplites","Ambloplites rupestris"
"130","Lepomis cyanellus","Rafinesque, 1819","Green Sunfish","crapet vert","sunfishes","312","168093","168130","168132","G5 (2016-05-10)","N4 (2017-12-22)","S4 (1997-10-09)","Not at Risk (Apr 1987)","Not at Risk","none","none","native/introduced","common","tolerant","pan fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","warmwater","quiet pools and backwaters of sluggish streams, ponds, lakes and impoundments, often near aquatic vegetation; preferred water temperature range 27-31°C","Guarders: Nest spawners: Polyphils","lacustrine; riverine","summer","June-August","20-28","2,000-10,000","lacustrine; riverine","10.2-20.3 TL","0.02-0.17","2-3","30.5 TL","0.96","5-8","168132","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis cyanellus"
"131","Lepomis gibbosus","(Linnaeus, 1758)","Pumpkinseed","crapet soleil","sunfishes","313","168093","168130","168144","G5 (2016-02-09)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","pan fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","warmwater","warm, shallows of lakes and ponds, quiet, pools of creeks and small rivers, with aquatic vegetation and organic debris; preferred water temperature range 22-30°C","Guarders: Nest spawners: Polyphils","lacustrine; riverine","spring-summer","May-August","17-26","2,451-10,633","lacustrine; riverine","12.7-22.9 TL","0.04-0.25","2-3","40.0 TL","1.02","7-10","168144","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis gibbosus"
"132","Lepomis gulosus","(Cuvier, 1829)","Warmouth","crapet sac-à-lait","sunfishes","323","168093","168130","168139","G5 (2015-05-19)","N1 (2017-10-31)","S1 (1988-11-22)","Endangered (May 2015)","Endangered","none","none","natural dispersal","rare","intermediate","none","lacustrine; riverine","benthopelagic","invertivore/carnivore","warmwater","shallow vegetated waters (<1 m) of lakes, ponds, oxbows and quiet areas of streams with clear water and siltly, sandy, organic substrates","Guarders: Nest spawners: Lithophils","lacustrine; riverine","summer","June-August","21-27","6,825-20,238","lacustrine; riverine","8.9-22.8 TL","0.014-0.27","2-3","33.0 TL","1.11","6-9","168138","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis gulosus"
"133","Lepomis humilis","(Girard, 1858)","Orangespotted Sunfish","crapet menu","sunfishes","324","168093","168130","168151","G5 (1996-09-23)","NNA (2017-12-22)","SNA (2009-03-23)","none","none","none","none","introduced","rare","tolerant","none","lacustrine; riverine","benthopelagic","invertivore","warmwater","quiet pools of creeks, small to large rivers and lowland lakes, usually with turbid waters and soft silty, clay and detritus substrates","Guarders: Nest spawners: Lithophils","lacustrine; riverine","summer","June-August","18-24","138-5,776","lacustrine; riverine","5.1-11.4 TL","0.003-0.032","2-3","17.7 TL","0.142","4-7","168151","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis humilis"
"134","Lepomis macrochirus","Rafinesque, 1819","Bluegill","crapet arlequin","sunfishes","314","168093","168130","168141","G5 (2015-08-18)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","pan fish","lacustrine; riverine","benthopelagic","invertivore","warmwater","vegetated small lakes, ponds, shallow weedy bays of larger lakes and pools of creeks and small to large rivers; preferred water temperature range 24-30°C","Guarders: Nest spawners: Polyphils","lacustrine; riverine","summer","June-August","19-26","2,450-45,575","lacustrine; riverine","13.7-25.3 TL","0.05-0.34","2-3 (m); 3-4 (f)","41.0 TL","2.155","8-11","168141","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis macrochirus"
"135","Lepomis peltastes","Cope, 1870","Northern Sunfish","crapet du nord","sunfishes","315","168093","168130","936897","G5 (2013-01-18)","N3 (2017-01-12)","S3 (2016-10-19)","Special Concern1, Not at Risk2 (Apr 2016)","Special Concern1; Not at Risk2","none","(1) Great Lakes-Upper St. Lawrence populations; (2) Saskatchewan-Nelson River populations","native/introduced","uncommon","intermediate","none","lacustrine; riverine","benthopelagic","invertivore","warmwater","warm, clear, quiet pools in creeks and rivers, ponds and lake shallows with aquatic vegetation and sand/silt/marl substrates; preferred water temperature 21°C","Guarders: Nest spawners: Polyphils","lacustrine; riverine","summer","June-July","20-25","480-3,560","lacustrine; riverine","7.5-12.2 TL","0.006-0.036","2-3","17.0 TL","no data","6-9","936897","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis peltastes"
"136","Micropterus dolomieu","Lacepède, 1802","Smallmouth Bass","achigan à petite bouche","sunfishes","316","168093","168158","550562","G5 (2016-02-09)","N5 (2016-02-09)","S5 (1988-11-22)","none","none","none","none","native/introduced","common","intermediate","sport fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coolwater","clear, gravel-bottomed runs and flowing pools of small to large rivers and shallow (5-7 m), rocky and sandy areas of lakes; preferred water temperature range 20-27°C","Guarders: Nest spawners: Polyphils","lacustrine; riverine","spring","May-June","13-20","1,724-27,200","lacustrine; riverine","25.4-45.7 TL","0.2-1.3","3-4 (m); 4-5 (f)","68.6 TL","6.4","8-18","550562","Teleostei","Perciformes","Centrarchidae","Micropterus","Micropterus dolomieu"
"137","Micropterus salmoides","(Lacepède, 1802)","Largemouth Bass","achigan à grande bouche","sunfishes","317","168093","168158","168160","G5 (2016-02-09)","N5 (2016-02-09)","S5 (2009-03-23)","none","none","none","none","native/introduced","common","tolerant","sport fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","warmwater","clear, warm, shallow lakes, bays, ponds, marshes and backwaters and pools of creeks and small to large rivers, often with soft mud or sand substrate and dense aquatic vegetation; usually at depths <6 m; preferred water temperature range 26-30°C","Guarders: Nest spawners: Polyphils","lacustrine; riverine","spring","May-June","15-21","4,550-54,732","lacustrine; riverine","30.5-53.3 TL","0.4-2.1","3-4 (m); 4-5 (f)","97 TL","11.37","12-23","168160","Teleostei","Perciformes","Centrarchidae","Micropterus","Micropterus salmoides"
"138","Pomoxis annularis","Rafinesque, 1818","White Crappie","marigane blanche","sunfishes","318","168093","168165","168166","G5 (2016-05-10)","N4 (2017-12-22)","S4 (2003-11-10)","none","none","none","none","native","uncommon","tolerant","pan fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","warmwater","ponds, lakes, reservoirs, and pools of low- to moderate-gradient creeks and rivers, often associated with aquatic vegetation and other cover; preferred water temperature range 18-24°C","Guarders: Nest spawners: Ariadnophils","lacustrine; riverine","spring","May-June","16-20","10,787-238,506","lacustrine; riverine","16.5-30.5 TL","0.05-0.38","2-3","53.3 TL","2.35","6-10","168166","Teleostei","Perciformes","Centrarchidae","Pomoxis","Pomoxis annularis"
"139","Pomoxis nigromaculatus","(Lesueur, 1829)","Black Crappie","marigane noire","sunfishes","319","168093","168165","168167","G5 (2016-02-09)","N5 (2017-04-19)","S4 (1988-11-22)","none","none","none","none","native/introduced","common","tolerant","pan fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coolwater","clear, quiet waters of large ponds, small lakes, bays and shallower areas of larger lakes and areas of low flow in larger rivers, associated with abundant aquatic vegetation and mud or sand substrate; preferred water temperature range 21-25°C","Guarders: Nest spawners: Ariadnophils","lacustrine; riverine","spring","May-June","14-22","10,836-334,396","lacustrine; riverine","17.8-35.2 TL","0.07-0.52","2-3","55.9 TL","2.72","8-13","168167","Teleostei","Perciformes","Centrarchidae","Pomoxis","Pomoxis nigromaculatus"
"140","Ammocrypta pellucida","(Agassiz, 1863)","Eastern Sand Darter","dard de sable","perches and darters","335","168356","168511","168517","G4 (2011-10-19)","N2 (2017-08-19)","S2 (2009-03-23)","Threatened (Nov 2009)","Endangered","Vulnerable (1)","none","native","rare","intolerant","none","lacustrine; riverine","benthic","invertivore","warmwater","sandy bottoms of large creeks and small to medium rivers in moderate current, and sandy shoals of lakes at depths of 5-15 m; preferred water temperature range 24-25.5°C","Nonguarders: Open substratum spawners: Psammophils","riverine","summer","June-July","17-25.5","22-829","riverine","4.6-7.1 TL","0.0005-0.0020","1 (m); 1-2 (f)","8.4 TL","no data","3-4","168517","Teleostei","Perciformes","Percidae","Ammocrypta","Ammocrypta pellucida"
"141","Etheostoma blennioides","Rafinesque, 1819","Greenside Darter","dard vert","perches and darters","336","168356","168358","168375","G5 (2016-02-09)","N4 (2016-02-09)","S4 (2009-03-23)","Not at Risk (Nov 2006)","Not at Risk","none","none","native/introduced","uncommon","intermediate","forage fish","riverine","benthic","invertivore","warmwater","algae-covered rocky riffles of creeks and small to medium rivers with clear water and moderate to fast current; preferred water temperature 25.4°C","Guarders: Substratum choosers: Phytophils","riverine","spring","April-June","10-19","181-3.664","riverine","6.1-11.4 TL","0.002-0.017","1-2","16.6 TL","no data","3-5","168375","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma blennioides"
"142","Etheostoma caeruleum","Storer, 1845","Rainbow Darter","dard arc-en-ciel","perches and darters","337","168356","168358","168378","G5 (2011-12-07)","N4 (2017-12-22)","S4 (1997-10-09)","none","none","none","none","native","common","intolerant","forage fish; baitfish (incidental)","riverine","benthic","invertivore","coolwater","fast-flowing gravel and cobble riffles of clear creeks and small to medium rivers; preferred water temperature 19.8°C","Nonguarders: Brood hiders: Lithophils","riverine","spring","April-June","15-18","82-1,462","riverine","3.6-6.4 TL","0.0004-0.0031","1","7.9 TL","0.0049","3-5","168378","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma caeruleum"
"143","Etheostoma exile","(Girard, 1859)","Iowa Darter","dard à ventre jaune","perches and darters","338","168356","168358","168393","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","baitfish (incidental)","lacustrine; riverine","benthic","invertivore","coolwater","clear waters of lakes, and slow flowing pools of creeks and small to medium rivers, having rooted aquatic vegetation and organic to sand substrates; preferred water temperature range 12-25°C","Guarders: Substratum choosers: Phytophils","lacustrine","spring","April-June","12-16","312-2,048","lacustrine","4.6-6.8 TL","0.0007-0.0022","1","7.5 TL","no data","3-4","168393","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma exile"
"144","Etheostoma flabellare","Rafinesque, 1819","Fantail Darter","dard barré","perches and darters","339","168356","168358","168394","G5 (2016-02-09)","N5 (2017-02-14)","S4 (1988-11-22)","none","none","none","none","native","common","intolerant","forage fish; baitfish (incidental)","riverine","benthic","invertivore","coolwater","shallow, rocky riffles of creeks and small to medium rivers with deep pools and slow to moderate currents; preferred water temperature 22.4°C","Guarders: Nest spawners: Speleophils","riverine","spring","May-June","13-17","37-588","riverine","5.1-7.4 TL","0.0015-0.0039","1-2","8.8 TL","0.0048","4-5","168394","Teleostei","Perciformes","Percidae","Etheostoma","Etheostoma flabellare"
