"","Species","Taxonomic_Authority","Common_Names","French_Name","Common_Family","OMNR_Code","Family_TSN","Parent_TSN","Species_TSN","Global_Rank_GRank","National_Rank_NRank","Provincial_Rank_SRank","COSEWIC_Status","SARO_Status","AFS_Status","Status_Notes","Ontario_Origin","General_Abundance","Tolerance","Economic_Importance","General_Habitats","Environment","Trophic_Class","Thermal_Regime","Habitat_Preference","Reproductive_Guild","Spawning_Habitats","Spawning_Season","Spawning_Months","Spawning_Temperature_Celsius","Fecundity","Nursery_Habitats","Adult_Length_cm","Adult_Weight_kg","Age_at_Maturity_yrs","Maximum_Length_cm","Maximum_Weight_kg","Lifespan_yrs","Species_TSN2","class_itis","order_itis","family_itis","genus_itis","species_itis"
"58","Semotilus corporalis","(Mitchill, 1817)","Fallfish","ouitouche","carps and minnows","213","163342","163374","163375","G5 (2016-02-08)","N5 (2016-02-08)","S4 (1988-11-22)","none","none","none","none","native","uncommon","intermediate","bait fish (occasional)","lacustrine; riverine","benthopelagic","invertivore/carnivore","coolwater","gravel- and cobble-bottomed pools and runs of small to medium rivers, and lake margins; preferred water temperature 22.3°C","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","14-19","2,000-12,321","riverine","15.5-36.5 TL","0.04-0.68","2-3 (m); 3-4 (f)","54.0 TL","1.70","6-10","163375","Teleostei","Cypriniformes","Cyprinidae","Semotilus","Semotilus corporalis"
"59","Carpiodes cyprinus","(Lesueur, 1817)","Quillback","couette","suckers","161","163892","163916","163919","G5 (2015-08-17)","N5 (2017-12-22)","S4 (1997-10-06)","none","none","none","none","native","uncommon","intermediate","none","lacustrine; riverine","benthic","invertivore/detritivore","coolwater","clear to turbid pools, backwaters and main channels of creeks and small to large rivers and lakes with bottoms of sand to silt; preferred water temperature range 22-26°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","spring","April-June","7-18","15,235-359,900","lacustrine; riverine","25.4-44.8 TL","0.2-1.1","4-6 (m); 6-8 (f)","71.2 TL","6.18","17-261","163919","Teleostei","Cypriniformes","Catostomidae","Carpiodes","Carpiodes carpio"
"60","Catostomus catostomus","(Forster, 1773)","Longnose Sucker","meunier rouge","suckers","162","163892","163893","163894","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1997-10-09)","none","none","none","none","native","common","intermediate","forage fish; commercial fishery","lacustrine; riverine","benthic","invertivore","coldwater","clear, cold, deep water (up to 55 m) of lakes and tributary streams; occasionally brackish water; preferred water temperature range 8-17°C","Nonguarders: Open substratum spawners: Litho-pelagophils","riverine","spring","April-June","5-15","10,270-89,000","lacustrine","30.5-45.7 TL","0.3-1.0","4-6 (m); 5-7 (f)","64.3 FL","3.31","19-28","163894","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus catostomus"
"61","Catostomus commersonii","(Lacepède, 1803)","White Sucker","meunier noir","suckers","163","163892","163893","163895","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","tolerant","forage fish; bait fish; coarse fish","lacustrine; riverine","benthic","invertivore/detritivore","coolwater","pools and riffles of creeks and rivers, warm shallow lakes and embayments of larger lakes usually at depths of 6-9 m; preferred water temperature range 17-23°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","spring","April-June","10-20","12,500-140,000","lacustrine; riverine","25.4-50.8 TL","0.2-1.4","2-3 (m); 3-4 (f)","63.5 TL","4.11","15-25","553273","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii"
"62","Erimyzon sucetta","(Lacepède, 1803)","Lake Chubsucker","sucet de lac","suckers","164","163892","163921","163922","G5 (2011-12-01)","N2 (2017-12-21)","S2 (1988-11-22)","Endangered (Nov 2008)","Threatened","none","none","natural dispersal","rare","intermediate","none","lacustrine; riverine","benthic","invertivore/herbivore","warmwater","clear, slow streams, shallow weedy lakes, ponds, wetlands and impoundments with clay, silt, sand or detritus substrates; preferred water temperature range 28-34°C","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring","May-June","16-23","998-18,478","lacustrine; riverine","13.5-26.9 TL","0.03-0.28","2-3","43.2 TL","0.998","6-8","163922","Teleostei","Cypriniformes","Catostomidae","Erimyzon","Erimyzon sucetta"
"63","Hypentelium nigricans","(Lesueur, 1817)","Northern Hog Sucker","meunier à tête carrée","suckers","165","163892","163948","163949","G5 (2016-02-09)","N4 (2016-02-09)","S4 (1997-10-02)","none","none","none","none","native","common","intermediate","baitfish (occasional)","riverine","benthic","invertivore/herbivore","warmwater","riffles, runs and pools of clear creeks and small rivers with gravel, cobble substrates; rare in lakes; preferred water temperature range 25-29°C","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","April-May","11-22","30,000","riverine","17.8-35.6 TL","0.06-0.52","2-3 (m); 3-4 (f)","57.2 TL","1.9","10-11","163949","Teleostei","Cypriniformes","Catostomidae","Hypentelium","Hypentelium nigricans"
"64","Ictiobus bubalus","(Rafinesque, 1818)","Smallmouth Buffalo","buffalo à petite bouche","suckers","175","163892","163954","163955","G5 (2012-02-20)","NNR","SNR","none","none","none","none","introduced","rare","tolerant","none","lacustrine; riverine","benthic","benthic insectivore","warmwater","warm, clear to moderately turbid pools, backwaters, oxbows and deeper waters of large rivers, reservoirs and lakes","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","spring","May-June","12-18","14,470-525,500","lacustrine; riverine","41.1-60.5 TL","1.0-4.2","4-5 (m); 6 (f)","122 TL","41.73","12-19","163955","Teleostei","Cypriniformes","Catostomidae","Ictiobus","Ictiobus bubalus"
"65","Ictiobus cyprinellus","(Valenciennes, 1844)","Bigmouth Buffalo","buffalo à grande bouche","suckers","166","163892","163954","163956","G5 (2015-08-18)","N5 (2017-02-14)","S4 (2009-10-20)","Not at Risk1, Special Concern2 (Apr 2009)","Not at Risk","none","(1) Great Lakes-Upper St. Lawrence populations; (2) Saskatchewan-Nelson River populations ","natural dispersal","uncommon","intermediate","none","lacustrine; riverine","benthic","invertivore","warmwater","main channels, deeper pools and backwaters of medium to large turbid, vegetated rivers, lakes and impoundments; preferred water temperature range 18-26°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","spring","May-June","15-24","347,641-750,322","lacustrine; riverine","35.6-66.9 TL","0.8-5.5","7-9 (m); 8-10 (f)","157.0 TL","36.4","19-26","163956","Teleostei","Cypriniformes","Catostomidae","Ictiobus","Ictiobus cyprinellus"
"66","Ictiobus niger","(Rafinesque, 1819)","Black Buffalo","buffalo noir","suckers","174","163892","163954","163957","G5 (2012-02-21)","NU (2017-12-22)","SU (2009-04-02)","Data Deficient (Apr 2007)","Data Deficient","none","none","introduced","rare","intermediate","none","lacustrine; riverine","benthic","invertivore/herbivore","warmwater","deep pools and backwaters of turbid vegetated rivers, impoundments and lakes","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","spring","May-June","11-15","400,000","lacustrine; riverine","40.8-66.0 TL","1.0-4.7","4-5","123 TL","48.08","14-24","163957","Teleostei","Cypriniformes","Catostomidae","Ictiobus","Ictiobus niger"
"67","Minytrema melanops","(Rafinesque, 1820)","Spotted Sucker","meunier tacheté","suckers","167","163892","163958","163959","G5 (2016-02-09)","N2 (2016-02-09)","S2 (1997-10-06)","Special Concern (Nov 2014)","Special Concern","none","none","native","rare","intermediate","none","lacustrine; riverine","benthic","invertivore","warmwater","nearshore of lakes and deep pools of creeks and small to medium rivers with firm sandy, gravelly or rocky substrates; preferred water temperature range 25-27°C","Nonguarders: Open substratum spawners: Litho-pelagophils","riverine","spring","May-June","12-19.5","19,600-51,000","riverine","22.9-38.1 TL","0.14-0.74","2-4 (m); 3-5 (f)","58.0 TL","1.73","6 (m); 8 (f)","163959","Teleostei","Cypriniformes","Catostomidae","Minytrema","Minytrema melanops"
